iter	Passed	Remaining
0	2	288
1	5	279
2	8	263
3	11	272
4	15	299
5	18	287
6	20	276
7	25	291
8	28	287
9	30	275
10	32	260
11	33	248
12	37	248
13	38	237
14	40	230
15	42	221
16	43	213
17	48	221
18	50	213
19	51	207
20	53	201
21	55	195
22	56	189
23	61	195
24	63	189
25	65	186
26	66	180
27	68	176
28	71	175
29	73	171
30	111	247
31	114	243
32	116	235
33	148	287
34	149	278
35	151	269
36	153	261
37	156	255
38	157	246
39	159	238
40	160	231
41	162	224
42	164	217
43	169	215
44	170	208
45	172	201
46	173	195
47	174	189
48	175	183
49	177	177
50	179	172
51	180	166
52	181	161
53	182	155
54	184	150
55	185	145
56	186	140
57	188	136
58	190	132
59	191	127
60	193	123
61	194	119
62	196	115
63	197	111
64	198	107
65	201	103
66	202	99
67	203	95
68	205	92
69	206	88
70	207	84
71	209	81
72	212	78
73	213	74
74	214	71
75	216	68
76	217	64
77	218	61
78	219	58
79	221	55
80	223	52
81	225	49
82	226	46
83	227	43
84	228	40
85	230	37
86	231	34
87	234	31
88	235	29
89	237	26
90	238	23
91	239	20
92	241	18
93	242	15
94	243	12
95	246	10
96	247	7
97	248	5
98	249	2
99	251	0
